Condition,A,
Initials,AJ,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,"increased fishing of that species cause population to drop, less avalable mating opportunities",
What is the effect on winter flounder?,Increased a lot,3
Why?,"less fishing allows the population to grow, erduces an outside predator",
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"either there is not a lot of fishing on this species of fish so reducing fishing on that species has little effect, or the fish population is very good at making babies",
What is the effect on skates?,Decreased a lot,3
Why?,over fishing kills off all hte populatoin ,
What is the effect on cod?,Increased a lot,3
Why?,"less fisherman fishing for cod. more avalablity of food, less natural preditors",
What is the effect on haddock?,Decreased a little,2
Why?,not as much food,
What is the effect on windowpane?,Decreased a lot,3
Why?,"not enough food, other fish increased in population and they are their natural preditors",
